n_samples,d,vine_family,correlation_type,rho,corr_max_error,corr_mean_error,corr_rmse,corr_of_corrs,marginals_similar,mean_ks_stat,mean_kendall_diff,mean_spearman_diff,entropy_true,entropy_error
2000,3,d-vine,equicorrelation,0.6,0.05988397748275176,0.04909581345764332,0.05098748876390318,-0.1783994891831911,True,0.020666666666666667,0.037962652710382315,0.048781066954045195,3.7347535479219984,0.23928464637652658
2000,3,d-vine,equicorrelation,0.9,0.2702849482107049,0.22661530264004082,0.2338047025538772,-0.8614702068473018,True,0.016833333333333336,0.24196949517486574,0.23441397966650077,2.4690402152105517,0.822101921413068
2000,5,c-vine,toeplitz,0.3,0.30410947614351785,0.1863227431844091,0.21977048156740556,0.30193317649744106,True,0.0187,0.12112018463962768,0.17796023189426463,6.906071307080881,0.45525721666107355
2000,5,c-vine,toeplitz,0.6,0.22048489327147902,0.09545625996140732,0.11910660650742182,0.9592768040052722,True,0.020399999999999998,0.06344400755574318,0.08916590367536839,6.202118460766524,0.20344734916481766
2000,5,c-vine,toeplitz,0.9,0.24913608483111305,0.09676776233484502,0.12343864133393535,0.7180098766353114,True,0.0163,0.09614507253626815,0.09952178428044604,3.77323025238006,0.8872609313611344
2000,5,c-vine,equicorrelation,0.3,0.18284756730159524,0.041579085476949974,0.068928586150136,0.46701380001853626,True,0.019700000000000002,0.0314496362822775,0.04572365833141423,6.7755714583280335,0.35918819431958227
2000,5,c-vine,equicorrelation,0.6,0.07928814253604388,0.02677231525010463,0.03508199741400338,0.03888782410216782,True,0.019200000000000002,0.022130367030292468,0.02828046476045961,5.8739989180861105,0.15484776871502515
2000,5,c-vine,equicorrelation,0.9,0.26001017683618477,0.1328244628755136,0.16685537511845946,-0.17235579343017657,True,0.015,0.14442970954254783,0.13583314987025935,3.2525506317827957,1.1062113257542179
2000,5,c-vine,block,0.3,0.40349358042524935,0.2729224020705225,0.2999020880319155,0.6413996603628532,True,0.0167,0.18019751275648355,0.26432029346110697,6.925864196971878,0.574255547294718
2000,5,c-vine,block,0.6,0.4571647325883268,0.2574739407051644,0.30778033156449935,0.9259775375448313,True,0.0164,0.1764545737807085,0.25362238729334513,6.349487063017133,0.41925165413173904
2000,5,c-vine,block,0.9,0.4226747170565588,0.2897037158006414,0.3061882133471825,0.9467349740803183,True,0.017499999999999998,0.22032298161333297,0.28131051474856295,4.476551678209071,1.0363682008760238
2000,5,d-vine,toeplitz,0.3,0.5499665000549254,0.23745380535885136,0.30199263790802644,-0.9568169300652495,True,0.0172,0.15586024497682113,0.22674904621991976,6.906071307080881,0.47694625093412224
2000,5,d-vine,toeplitz,0.6,0.5807625526310863,0.20495270508149738,0.2742769706651349,-0.4589556466598849,True,0.016800000000000002,0.1459970984337841,0.2018700270673678,6.202118460766524,0.4075564023030509
2000,5,d-vine,toeplitz,0.9,0.25412985063515525,0.12652939522939857,0.16133311161497563,-0.7726875735722142,True,0.015099999999999999,0.13194642573007792,0.13053907896065411,3.77323025238006,1.1602527918941536
2000,5,d-vine,equicorrelation,0.6,0.04769882135187975,0.019250786253633877,0.0278201033454218,0.40474756668381,True,0.0196,0.01780748491190861,0.02460198480440238,5.8739989180861105,0.30365975391980804
2000,5,d-vine,equicorrelation,0.9,0.254733623581049,0.16275867945533493,0.1777253356121906,-0.0487120836784956,True,0.0191,0.1790938819311947,0.16938726873294088,3.2525506317827957,1.1871120901085024
2000,5,d-vine,block,0.3,0.5629580569619697,0.27314014243232954,0.3439633200784443,-0.7765442043082401,True,0.0196,0.1797011353807555,0.2629904398585003,6.925864196971878,0.5365335228761774
2000,5,d-vine,block,0.6,0.6141847282238722,0.3071793588518738,0.35943450461050014,0.03133499125566207,True,0.0161,0.20694947473736866,0.2937553101888276,6.349487063017133,0.3363605053710996
2000,5,d-vine,block,0.9,0.7164785015450328,0.44333295874793277,0.4677996244846336,0.0757638632517331,True,0.0201,0.3381778889444722,0.4346995043248761,4.476551678209071,1.4615256808193582
2000,10,c-vine,toeplitz,0.3,0.640757098527606,0.37438865603589916,0.3997493231030721,0.22539225205079913,True,0.01845,0.25139326153406427,0.36339701955119874,13.76498727442614,1.6966984854799279
2000,10,c-vine,toeplitz,0.6,0.5063331350842046,0.2569040675254455,0.29755308787143764,0.6889502294541929,True,0.01795,0.1745838325590328,0.2462352947646641,12.18109337021884,0.7804870593436775
2000,10,c-vine,toeplitz,0.9,0.268070539296841,0.044612290391276684,0.06596948280472018,0.9006052089487108,True,0.015250000000000003,0.04187431651915992,0.04501284569639685,6.716094901349296,1.6250368260295378
2000,10,c-vine,equicorrelation,0.6,0.1981522305952257,0.05353045702806332,0.07093739301211918,0.23128743920846737,True,0.017849999999999998,0.04527285457371354,0.054902910548929096,10.99422603379584,0.4865152839462965
2000,10,c-vine,equicorrelation,0.9,0.2717042924775319,0.07856779040084264,0.12490012121573603,-0.10701167355813941,True,0.018,0.0893369156551284,0.08328686591352986,4.931889620334921,1.847299952856921
2000,10,c-vine,block,0.3,0.5243734537435146,0.31705887032128305,0.35526900587428445,0.26904511618233673,True,0.019700000000000002,0.21557044003608894,0.3075010919187309,13.551142916656067,1.5142727949287238
2000,10,c-vine,block,0.6,0.5898599330794195,0.2818531126641338,0.34810862755951955,0.7804821257397079,True,0.01745,0.1954544754436916,0.2763823491145384,11.747997836172221,0.8251814907398796
2000,10,d-vine,toeplitz,0.3,0.5491371461168141,0.35486632540676977,0.40071904610334863,-0.9169964404478123,True,0.019,0.23668869413595217,0.34281414869400445,13.76498727442614,1.6600541184336173
2000,10,d-vine,toeplitz,0.6,0.6445111812853771,0.35907017569868827,0.42362359078707895,-0.7966679661003974,True,0.0247,0.2510424793864203,0.34807817147887393,12.18109337021884,1.3827797897650136
2000,10,d-vine,toeplitz,0.9,0.37992178297011664,0.15490235706298286,0.1884339135279541,-0.7015496941987782,True,0.016200000000000003,0.1420638423674761,0.1564587494892067,6.716094901349296,2.0078590846361433
2000,10,d-vine,equicorrelation,0.3,0.21829298706115519,0.10466362933520003,0.12396094497322006,-0.25302263049239,True,0.021399999999999995,0.0714106913206918,0.10139690824016459,13.23851449414752,0.9067847353694205
2000,10,d-vine,equicorrelation,0.9,0.25213181155964226,0.13099991506938968,0.14192768155322072,0.003845456974846823,True,0.016500000000000004,0.15240188809750047,0.13871470510155517,4.931889620334921,2.840094584337746
2000,10,d-vine,block,0.3,0.5093381558245648,0.27694994393241207,0.33968200511759467,-0.6397635826080242,True,0.016950000000000003,0.1858141966549169,0.2699046837339275,13.551142916656067,1.5242544997266183
2000,10,d-vine,block,0.6,0.7063880228435865,0.38471246321015123,0.47336170780295106,-0.40572726800079706,True,0.01845,0.2635951071114002,0.3714194416984826,11.747997836172221,0.7433944764623153
2000,10,d-vine,block,0.9,0.8038801683966902,0.4987013039844169,0.5436223390041794,-0.23842711025140187,True,0.0224,0.3847117850898831,0.48964367064725195,6.505101263565591,2.747407798949056
